type_of_reference,authors,title,year,secondary_title,volume,number,start_page,end_page,doi,urls,author_address,abstract,keywords,publisher,issn,language,alternate_title1,type_of_work,name_of_database,notes,database,secondary_authors,custom7,custom2,short_title
JOUR,"['Murukutla, V.A.', 'Cattan, E.', 'Lecouteux, B.', 'Ronfard, R.', 'Palombi, O.']",Text-to-movie authoring of anatomy lessons,2023,Artificial Intelligence in Medicine,146,,,,10.1016/j.artmed.2023.102717,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177873819&doi=10.1016%2fj.artmed.2023.102717&partnerID=40&md5=3f87b651c87cf0b4dd578d4aa9b7f3e0'],"University Grenoble Alpes, LJK, Inria, CNRS, Grenoble, 38000, France","There is a need for a simple yet comprehensive tool to produce and edit pedagogical anatomy video courses, given the widespread usage of multimedia and 3D content in anatomy instruction. Anatomy teachers have minimal control over the present anatomical content generation pipeline. In this research, we provide an authoring tool for instructors that takes text written in the Anatomy Storyboard Language (ASL), a novel domain-specific language (DSL) and produces an animated video. ASL is a formal language that allows users to describe video shots as individual sentences while referencing anatomic structures from a large-scale ontology linked to 3D models. We describe an authoring tool that translates anatomy lessons written in ASL to finite state machines, which are then used to automatically generate 3D animation with the Unity 3D game engine. The proposed text-to-movie authoring tool was evaluated by four anatomy professors to create short lessons on the knee. Preliminary results demonstrate the ease of use and effectiveness of the tool for quickly drafting narrated video lessons in realistic medical anatomy teaching scenarios. © 2023","['Anatomy pedagogy', 'Computer animation', 'Domain specific languages', 'Finite state machines', 'Algorithms', 'Computer-Assisted Instruction', 'Education, Medical', 'Motion Pictures', 'Animation', 'Computer aided software engineering', 'Curricula', 'Finite automata', 'Formal languages', 'Graphical user interfaces', 'Three dimensional computer graphics', '3D content', 'Anatomy pedagogy', 'Authoring tool', 'Computer animation', 'Domains specific languages', 'Finite states machine', 'Multimedia contents', 'Novel domain', 'Simple++', ""Teachers'"", 'Article', 'artificial intelligence', 'automatic speech recognition', 'cadaver', 'computer language', 'finite state machine', 'gastrocnemius muscle', 'human', 'medical education', 'preliminary data', 'speech discrimination', 'thorax surgery', 'urologic surgery', 'zygote', 'algorithm', 'teaching', 'Problem oriented languages']",Elsevier B.V.,09333657 (ISSN),English,Artif. Intell. Med.,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: O. Palombi; University Grenoble Alpes, LJK, Inria, CNRS, Grenoble, 38000, France; email: olivier.palombi@univ-grenoble-alpes.fr; CODEN: AIMEE']",SCOPUS,,102717,38042603,
JOUR,"['Rayo, G.', 'Tous, R.']",Temporally Coherent Video Cartoonization for Animation Scenery Generation,2024,Electronics (Switzerland),13,17,,,10.3390/electronics13173462,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204158932&doi=10.3390%2felectronics13173462&partnerID=40&md5=e74792cfe83997022b82d10fe1da04a3'],"Department of Computer Architecture, Universitat Politecnica de Catalunya, Barcelona, 08034, Spain","The automatic transformation of short background videos from real scenarios into other forms with a visually pleasing style, like those used in cartoons, holds application in various domains. These include animated films, video games, advertisements, and many other areas that involve visual content creation. A method or tool that can perform this task would inspire, facilitate, and streamline the work of artists and people who produce this type of content. This work proposes a method that integrates multiple components to translate short background videos into other forms that contain a particular style. We apply a fine-tuned latent diffusion model with an image-to-image setting, conditioned with the image edges (computed with holistically nested edge detection) and CLIP-generated prompts to translate the keyframes from a source video, ensuring content preservation. To maintain temporal coherence, the keyframes are translated into grids and the style is interpolated with an example-based style propagation algorithm. We quantitatively assess the content preservation and temporal coherence using CLIP-based metrics over a new dataset of 20 videos translated into three distinct styles. © 2024 by the authors.","['animation', 'computer graphics', 'deep learning', 'diffusion probabilistic models', 'generative models', 'video cartoonization', 'video stylization', 'video translation']",Multidisciplinary Digital Publishing Institute (MDPI),20799292 (ISSN),English,Electronics (Switzerland),Article,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: R. Tous; Department of Computer Architecture, Universitat Politecnica de Catalunya, Barcelona, 08034, Spain; email: ruben.tous@upc.edu']",SCOPUS,,3462,,
CONF,"['Rodriguez Prado, D.', 'Perez, V.', 'Petrescu, M.', 'Ebbecke, T.', 'Millon, E.', 'Gu, T.']",KREA: Real-time AI and the Future of Creative Tools,2024,Proceedings - SIGGRAPH 2024 Real-Time Live!,,,,,10.1145/3641520.3665303,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200655022&doi=10.1145%2f3641520.3665303&partnerID=40&md5=6e42087783f008324d762341fe246e7e'],"KREA.AI, Inc., San Francisco, CA, United States","KREA is a novel platform that integrates AI into the creative process, aiming to enhance how artists interact with artificial intelligence. This system combines recent advances in AI research, distributed systems, and human-computer interaction to facilitate real-time visual content creation. KREA's architecture, which we term an ""inverted videogame""system, enables AI-powered creation through web browsers, addressing challenges in latency, state management, and reliability in dynamic GPU compute environments. This paper presents the key innovations of KREA, including its unique distributed architecture, real-time AI generation capabilities, and user interface designed for intuitive AI-assisted creativity. © 2024 Owner/Author.","['creative tools', 'distributed systems', 'image generation', 'real-time AI', 'video generation', 'Distributed computer systems', 'Human computer interaction', 'Real time systems', 'Web browsers', 'Content creation', 'Creative process', 'Creative tools', 'Distributed systems', 'Image generations', 'Real- time', 'Real-time AI', 'Video generation', 'Video-games', 'Visual content', 'User interfaces']","Association for Computing Machinery, Inc",979-840070526-7 (ISBN),English,Proc. - SIGGRAPH Real-Time Live!,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: D. Rodriguez Prado; KREA.AI, Inc., San Francisco, United States; email: d@krea.ai; Conference name: SIGGRAPH 2024 Real-Time Live!; Conference date: 28 July 2024 through 1 August 2024; Conference code: 201323']",SCOPUS,['Spencer S.N.'],4,,
CONF,"['Tinterri, A.', 'di Padova, M.', 'Palladino, F.', 'Vignoli, G.', 'Dipace, A.']",AI in board Game-Based Learning,2023,CEUR Workshop Proceedings,3605,,,,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183207637&partnerID=40&md5=75452c25136890de81aae8464cb79f8a'],"IUL Telematic University, Via M. Buonarroti 10, Florence, 50122, Italy","Despite receiving less attention in educational research compared to digital games, boardgames show great potential as a learning environment in many educational scenarios. They promote acquisition of disciplinary knowledge and key competences, generate a sense of physical “togetherness”, can be employed in situation of social and economic disadvantage, and can be modified (or “modded”), for better alignment with disciplinary content. The use of games in European schools is very limited; teachers see the potential of games for learning, but their competence in the use of games for learning is superficial and limited to personal experience. High-performance AI systems such as GPT-4 have emerged as a potential game-changer in education, as a collaborative partner to assist teachers in learning design or to automatize decision-making processes. Despite known limitations, trained LLMs show promise in executing educational tasks. This study explores whether trained High-performance AI can facilitate teachers in the creation of boardgame-based learning units, by bridging their knowledge gap in game knowledge and game-based instructional skills. Using the GDBL ID model, the most comprehensive available instructional model for the creation of boardgame-based learning units, in this exploratory study we instructed Chat GPT to address two key phases of bGBL design: the choice of the game for the learning activity and the personalization of the game for constructive alignment and inclusion. Evaluation of the output by GBL experts highlights the potential of AI tools for bGBL © 2023 Copyright for this paper by its authors. Use permitted under Creative Commons License Attribution 4.0 International (CC BY 4.0).","['Board Game-based learning', 'GDBL ID', 'instructional design', 'Personalization of games', 'Computer aided instruction', 'Education computing', 'Learning systems', 'Board game-based learning', 'Board games', 'Game-based Learning', 'Games for learning', 'GDBL ID', 'Instructional designs', 'Performance', 'Personalization of game', 'Personalizations', ""Teachers'"", 'Decision making']",CEUR-WS,16130073 (ISSN),English,CEUR Workshop Proc.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 1st International Workshop on High-Performance Artificial Intelligence Systems in Education, AIxEDU 2023; Conference code: 196077']",SCOPUS,"['Schicchi D.', 'National Research Council, Istitute for Education Technology, Via Ugo la Malfa 152, Palermo', 'Taibi D.', 'National Research Council, Istitute for Education Technology, Via Ugo la Malfa 152, Palermo', 'Temperini M.', 'Universita Roma Sapienza, Ingegneria Informatica, Automatica, e Gestionale ""Antonio Ruberti"", Via Ariosto, 25, Roma']",,,
CONF,"['Moruzzi, C.', 'Margarido, S.']",A User-centered Framework for Human-AI Co-creativity,2024,Conference on Human Factors in Computing Systems - Proceedings,,,,,10.1145/3613905.3650929,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194178005&doi=10.1145%2f3613905.3650929&partnerID=40&md5=6c817e442f9d8f6591967973ffc1eae3'],"Design Informatics/School of Design, University of Edinburgh, Edinburgh, United Kingdom","The pervasive adoption and use of Generative AI tools have prompted a discourse on determining the optimal balance between automation and human agency in processes executed by users with the assistance of this technology. This paper presents a user-centered co-creativity framework that identifies key dimensions responsible for the modulation of agency and control between users and AI in co-creative processes. It also suggests an actionable way of implementing the framework in a customization tool, in the form of a mobile application, which can be used to tailor the interaction between users and the AI system following the dimensions proposed in the framework. The paper contributes new insights within the literature on Computational Creativity and Human-Computer Interaction interested in the investigation of modalities of co-creation between humans and AI. © 2024 Association for Computing Machinery. All rights reserved.","['Co-creativity', 'Customization tool', 'Framework', 'Game design', 'Mixed-initiative', 'Artificial intelligence', 'Game design', 'Co-creativity', 'Customisation', 'Customization tool', 'Framework', 'Game design', 'Human agency', 'In-process', 'Mixed-initiative', 'Optimal balance', 'User-centred', 'Human computer interaction']",Association for Computing Machinery,979-840070331-7 (ISBN),English,Conf Hum Fact Comput Syst Proc,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 1; Conference name: 2024 CHI Conference on Human Factors in Computing Sytems, CHI EA 2024; Conference date: 11 May 2024 through 16 May 2024; Conference code: 199442']",SCOPUS,,25,,
CONF,"['Zugarini, A.', 'Zeinalipour, K.', 'Kadali, S.S.', 'Maggini, M.', 'Gori, M.', 'Rigutini, L.']",Clue-Instruct: Text-Based Clue Generation for Educational Crossword Puzzles,2024,"2024 Joint International Conference on Computational Linguistics, Language Resources and Evaluation, LREC-COLING 2024 - Main Conference Proceedings",,,3347,3356,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195923835&partnerID=40&md5=bff387f3eccea3844d162a99103ac441'],"expert.ai, Siena, Italy","Crossword puzzles are popular linguistic games often used as tools to engage students in learning. Educational crosswords are characterized by less cryptic and more factual clues that distinguish them from traditional crossword puzzles. Despite there exist several publicly available clue-answer pair databases for traditional crosswords, educational clue-answer pairs datasets are missing. In this article, we propose a methodology to build educational clue generation datasets that can be used to instruct Large Language Models (LLMs). By gathering from Wikipedia pages informative content associated with relevant keywords, we use Large Language Models to automatically generate pedagogical clues related to the given input keyword and its context. With such an approach, we created clue-instruct, a dataset containing 44,075 unique examples with text-keyword pairs associated with three distinct crossword clues. We used clue-instruct to instruct different LLMs to generate educational clues from a given input content and keyword. Both human and automatic evaluations confirmed the quality of the generated clues, thus validating the effectiveness of our approach. © 2024 ELRA Language Resource Association: CC BY-NC 4.0.","['Educational Crossword Clues', 'Instruction Tuning', 'LLMs', 'Natural Language Generation', 'Computational linguistics', 'Natural language processing systems', 'Automatic evaluation', 'Crosswords puzzles', 'Educational crossword clue', 'Human evaluation', 'Instruction tuning', 'Language model', 'Large language model', 'Natural language generation', 'Wikipedia', 'Large datasets']",European Language Resources Association (ELRA),978-249381410-4 (ISBN),English,"Jt. Int. Conf. Comput. Linguist., Lang. Resour. Eval., LREC-COLING - Main Conf. Proc.",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: Joint 30th International Conference on Computational Linguistics and 14th International Conference on Language Resources and Evaluation, LREC-COLING 2024; Conference date: 20 May 2024 through 25 May 2024; Conference code: 199620']",SCOPUS,"['Calzolari N.', 'Kan M.-Y.', 'Hoste V.', 'Lenci A.', 'Sakti S.', 'Xue N.']",,,
JOUR,"['Kim, J.']",PokerKit: A Comprehensive Python Library for Fine-Grained Multi-Variant Poker Game Simulations,2023,IEEE Transactions on Games,,,1,8,10.1109/TG.2023.3325637,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174843203&doi=10.1109%2fTG.2023.3325637&partnerID=40&md5=11549449f505c25ebaf96a58613ff673'],"Faculty of Applied Science and Engineering, University of Toronto, Toronto, Ontario, Canada","PokerKit is an open-source Python library designed to overcome the restrictions of existing poker game simulation and hand evaluation tools, which typically support only a handful of poker variants and lack flexibility in game state control. In contrast, PokerKit significantly expands this scope by supporting an extensive array of poker variants and it provides a flexible architecture for users to define their custom games. This paper details the design and implementation of PokerKit, including its intuitive programmatic API, multi-variant game support, and a unified hand evaluation suite across different hand types. The flexibility of PokerKit allows for applications in diverse areas, such as poker AI development, tool creation, and online poker casino implementation. PokerKit&#x0027;s reliability has been established through static type checking, extensive doctests, and unit tests, achieving 99&#x0025; code coverage. The introduction of PokerKit represents a significant contribution to the field of computer poker, fostering future research and advanced AI development for a wide variety of poker games. The source code is available at <uri>https://github.com/uoftcprg/pokerkit</uri> Author","['Artificial intelligence', 'Automation', 'Board games', 'Card games', 'Computational modeling', 'Engines', 'Game design', 'Games', 'Games of chance', 'Libraries', 'Multi-agent systems', 'Poker', 'Python', 'Rule based systems', 'Scripting', 'Strategy games', 'Computer games', 'Game design', 'High level languages', 'Intelligent agents', 'Knowledge based systems', 'Open systems', 'Board games', 'Card games', 'Computational modelling', 'Game', 'Game design', 'Games of chance', 'Poker', 'Rules based systems', 'Scripting', 'Strategy games', 'Multi agent systems']",Institute of Electrical and Electronics Engineers Inc.,24751502 (ISSN),English,IEEE Trans. Games,Article,Scopus,['Export Date: 06 January 2025; Cited By: 1'],SCOPUS,,,,
CONF,"['Pascua, C.A.', 'Gavino, I.']",SimpleG: A Design of a Beginner-Friendly Procedural Content Generator for the Unity Tool,2023,ACM International Conference Proceeding Series,,,32,40,10.1145/3617733.3617739,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177617930&doi=10.1145%2f3617733.3617739&partnerID=40&md5=7bb133334f068db722dce396e107d811'],"School of It, Mapua University, Philippines",This study covers how uncommon Procedural Content Generation (PCG) is in today's industry and why there are only a limited number of people that use it. The game design proposal in this study contains a summary regarding a Unity Extension geared towards an easier gateway for new developers to get started with Procedural Content Generation. This extension was tested to collect feedback about their experiences with PCG and their opinions for how the extension could be improved.  © 2023 ACM.,"['Procedural Content Generation', 'Unity Extension', 'Unity Tool', 'Design proposal', 'Game design', 'Number of peoples', 'Procedural content generations', 'Unity extension', 'Unity tool', 'Computer programming']",Association for Computing Machinery,979-840070773-5 (ISBN),English,ACM Int. Conf. Proc. Ser.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Conference name: 11th International Conference on Computer and Communications Management, ICCCM 2023; Conference date: 4 August 2023 through 6 August 2023; Conference code: 194137']",SCOPUS,,,,
CONF,"['Liu, Z.', 'Li, Y.', 'Tu, F.', 'Zhang, R.', 'Cheng, Z.', 'Yokoya, N.']",DeepTreeSketch: Neural Graph Prediction for Faithful 3D Tree Modeling from Sketches,2024,Conference on Human Factors in Computing Systems - Proceedings,,,,,10.1145/3613904.3642125,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194873537&doi=10.1145%2f3613904.3642125&partnerID=40&md5=63043b407b0a0864ecda95b79bee9657'],"The University of Tokyo, Tokyo, Japan","We present DeepTreeSketch, a novel AI-assisted sketching system that enables users to create realistic 3D tree models from 2D freehand sketches. Our system leverages a tree graph prediction network, TGP-Net, to learn the underlying structural patterns of trees from a large collection of 3D tree models. The TGP-Net simulates the iterative growth of botanical trees and progressively constructs the 3D tree structures in a bottom-up manner. Furthermore, our system supports a flexible sketching mode for both precise and coarse control of the tree shapes by drawing branch strokes and foliage strokes, respectively. Combined with a procedural generation strategy, users can freely control the foliage propagation with diverse and fine details. We demonstrate the expressiveness, efficiency, and usability of our system through various experiments and user studies. Our system offers a practical tool for 3D tree creation, especially for natural scenes in games, movies, and landscape applications. © 2024 Copyright held by the owner/author(s)","['3D modeling interface', 'ideation', 'neural networks', 'sketching system', 'Backpropagation', 'Interactive computer graphics', 'Three dimensional computer graphics', 'Trees (mathematics)', '3d modeling interface', '3D models', '3D tree', '3d-modeling', 'Ideation', 'Model interface', 'Neural-networks', 'Sketching system', 'Sketchings', 'Tree modeling', '3D modeling']",Association for Computing Machinery,979-840070330-0 (ISBN),English,Conf Hum Fact Comput Syst Proc,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: Z. Cheng; Shenzhen VisuCA Key Lab, SIAT, Chinese Academy of Sciences, Shenzhen, China; email: zl.cheng@siat.ac.cn; N. Yokoya; The University of Tokyo, Tokyo, Japan; email: yokoya@k.u-tokyo.ac.jp; Conference name: 2024 CHI Conference on Human Factors in Computing Sytems, CHI 2024; Conference date: 11 May 2024 through 16 May 2024; Conference code: 199441']",SCOPUS,,471,,
JOUR,"['Symeonidis, S.', 'Meditskos, G.', 'Vrochidis, S.', 'Avgerinakis, K.', 'Derdaele, J.', 'Vergauwen, M.', 'Bassier, M.', 'Moghnieh, A.', 'Fraguada, L.', 'Vogler, V.', 'Shekhawat, Y.', 'Wanner, L.', 'Marimon, M.', 'Valsamidou, K.', 'Koulali, P.', 'Tellios, A.', 'Wuyts, J.', 'Lopez, E.']",V4Design: Intelligent Analysis and Integration of Multimedia Content for Creative Industries,2023,IEEE Systems Journal,17,2,2570,2573,10.1109/JSYST.2022.3217655,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141568766&doi=10.1109%2fJSYST.2022.3217655&partnerID=40&md5=2769d29f7f8f70ae35c68827634660ed'],"Information Technologies Institute - Certh, Thessaloniki, 57001, Greece","Nowadays, vast amounts of multimedia content are being produced, archived, and digitized, resulting in great troves of data of interest. Examples include user-generated content, such as images, videos, text, and audio posted by users on social media and wikis, or content provided through official publishers and distributors, such as digital libraries, organizations, and online museums. This digital content can serve as a valuable source of inspiration to the creative industries, such as architecture and gaming, to produce new innovative assets or to enhance and (re-)use existing ones. However, in its current form, this content is difficult to be reused and repurposed due to the lack of appropriate solutions for its retrieval, analysis, and integration into the design process. In this article, we present V4Design, a novel framework for the automatic content analysis, linking, and seamless transformation of heterogeneous multimedia content to help architects and virtual reality game designers establish innovative value chains and end-user applications. By integrating and intelligently combining state-of-the-art technologies in computer vision, 3-D generation, text analysis, generation and semantic integration, and interlinking, V4Design provides architects and video game designers with innovative tools to draw inspiration from archive footage and documentaries, inspiring and eventually supporting the design process.  © 2007-2012 IEEE.","['Architecture', 'creative industries', 'game design', 'multimedia analysis', 'virtual reality (VR)', 'Computer games', 'Data visualization', 'Design', 'Digital libraries', 'Game design', 'Human computer interaction', 'Integration', 'Interactive computer graphics', 'Semantics', 'Three dimensional computer graphics', 'Visualization', 'Authoring systems', 'Creative industries', 'Design-process', 'Game', 'Game design', 'Multi-media analysis', 'Multimedia contents', 'Solid modelling', 'Technological innovation', 'Virtual reality', 'Virtual reality']",Institute of Electrical and Electronics Engineers Inc.,19328184 (ISSN),English,IEEE Syst. J.,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 2; Correspondence Address: S. Symeonidis; Information Technologies Institute - Certh, Thessaloniki, 57001, Greece; email: spyridons@iti.gr']",SCOPUS,,,,
JOUR,"['Sepulveda, G.K.', 'Romero, N.', 'Vidal-Silva, C.', 'Besoain, F.', 'Barriga, N.A.']",Semi-Automatic Building Layout Generation for Virtual Environments,2024,IEEE Access,12,,87014,87022,10.1109/ACCESS.2024.3416848,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196486053&doi=10.1109%2fACCESS.2024.3416848&partnerID=40&md5=55f4df4c795a74a7305bd70656f536c8'],"University of Talca, Faculty of Engineering, Talca, Chile","Creating floor plan layouts for houses, offices, hotels, or videogame levels is time-consuming. In several applications, the process starts with a bubble diagram or graph derived from a client's requirements, which is then used as a basis for drawing a blueprint to continue the design process. That process requires a tool to preserve consistency between design models and diminish the design time. Hence, we have developed a Unity plugin to graphically represent a building layout using nodes and edges for rooms and doors that also allow defining the size and aspect ratio of spaces. This abstract representation is then automatically converted into a blueprint and optimized for explicit constraints (doors, size, and ratio) and implicit ones (tightness, convexity) by applying stochastic hill-climbing or steepest ascent hill-climbing algorithms. Then, the user can edit that blueprint further. As a final result, the tool generates a navigable 3D representation of the floor plan for the user to explore and go back to edit it if necessary. Results show that both algorithms are computing efficient enough to apply them interactively in the tool while providing functional building layouts. This work can assist established designers or enable building layout tools to be used by non-experts, such as potential homebuyers wishing to communicate a desired layout to an architect or hobbyist game designers working on their first videogame.  © 2013 IEEE.","['computer-aided design', 'Mixed-initiative procedural context generation', 'videogame-level editor', 'Architectural design', 'Aspect ratio', 'Blueprints', 'Computer aided design', 'Computer games', 'Floors', 'Human computer interaction', 'Interactive computer graphics', 'Stochastic systems', 'Structural design', 'Virtual reality', 'Buildings layout', 'Computer-aided design', 'Game', 'Layout', 'Mixed-initiative', 'Mixed-initiative procedural context generation', 'Optimisations', 'Video-games', 'Videogame-level editor', 'Optimization']",Institute of Electrical and Electronics Engineers Inc.,21693536 (ISSN),English,IEEE Access,Article,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: N.A. Barriga; University of Talca, Faculty of Engineering, Talca, Chile; email: nbarriga@utalca.cl']",SCOPUS,,,,
CONF,"['Davern, S.', 'Haahr, M.']",Towards Procedural Generation of Narrative Puzzles for Open World Games,2023,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),14384 LNCS,,146,154,10.1007/978-3-031-47658-7_13,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177428344&doi=10.1007%2f978-3-031-47658-7_13&partnerID=40&md5=9611e0690aa97e4033eae8067b0fdfbb'],"Trinity College Dublin, University of Dublin, Dublin, Ireland","Story Puzzle Heuristics for Interactive Narrative eXperiences (SPHINX) was developed as a system for generating narrative puzzles in adventure games. While SPHINX is capable of generating narrative puzzles for narrative games with a progressive structure, it cannot be applied to genres that adopt a progressive narrative structure with emergent components like open world video games. In this paper, we present the adaptations we will make to SPHINX to allow it to generate narrative puzzles in open world games that can act as optional side content. We argue that this can be achieved by creating a large database of puzzle items, actions, rules and goals; by altering when SPHINX generates puzzles; and by creating new item properties that remedy potential design issues that may arise. Some design implications are considered and avenues for further work are put forward. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2023.","['Authoring tools', 'Interactive narrative', 'Open world', 'Procedural content generation', 'Puzzles', 'Video games', 'Design', 'Interactive computer graphics', 'Action rules', 'Adventure games', 'Authoring tool', 'Interactive narrative', 'Large database', 'Narrative structures', 'Open world', 'Procedural content generations', 'Puzzle', 'Video-games', 'Human computer interaction']",Springer Science and Business Media Deutschland GmbH,03029743 (ISSN); 978-303147657-0 (ISBN),English,Lect. Notes Comput. Sci.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: S. Davern; Trinity College Dublin, University of Dublin, Dublin, Ireland; email: daverns@tcd.ie; Conference name: 16th International Conference on Interactive Digital Storytelling, ICIDS 2023; Conference date: 11 November 2023 through 15 November 2023; Conference code: 304169']",SCOPUS,"['Holloway-Attaway L.', 'Murray J.T.']",,,
CONF,"['Cardinale, S.', 'Withington, O.']",HarmonyMapper: Generating Emotionally Diverse Chord Progressions for Games,2023,CEUR Workshop Proceedings,3626,,,,,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184659225&partnerID=40&md5=71ce08a2d7f7750aa3c1380cee77dd87'],"Queen Mary University of London, London, United Kingdom","In this paper, we introduce our system HarmonyMapper, a system for generating diverse musical sequences. By combining the MAP Elites algorithm with insights from music theory, specifically Neo-Riemannian Theory, HarmonyMapper is able to generate sets of chord sequences with a high-level diversity in terms of the emotions they are expected to elicit. Our intention is that this system will form the basis for a mixed-initiative musical composition tool focused on generating diverse music for digital games. While HarmonyMapper is limited in the musical complexity it can produce, our pilot experiments showed that it is capable of generating large numbers of varied sequences with no input data and only limited set up and computational resources required. © 2023 Copyright for this paper by its authors.","['Computational Creativity', 'MAP-Elites', 'Neo-Riemannian Theory', 'Procedural Music', 'Quality-Diversity Algorithms', 'Artificial intelligence', 'Chord sequence', 'Computational creativities', 'Digital games', 'MAP-elite', 'Mixed-initiative', 'Music theory', 'Musical composition', 'Neo-riemannian theory', 'Procedural music', 'Quality-diversity algorithm', 'Music']",CEUR-WS,16130073 (ISSN),English,CEUR Workshop Proc.,Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 0; Correspondence Address: S. Cardinale; Queen Mary University of London, London, United Kingdom; email: s.cardinale@qmul.ac.uk; Conference name: 10th Experimental Artificial Intelligence in Games Workshop, EXAG 2023; Conference code: 196674']",SCOPUS,"['Madkour A.', 'Otto J.', 'Ferreira L.N.', 'Johnson-Bey S.']",,,
CONF,"['Nasir, M.U.', 'Togelius, J.']",Practical PCG Through Large Language Models,2023,"IEEE Conference on Computatonal Intelligence and Games, CIG",,,,,10.1109/CoG57401.2023.10333197,['https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180546375&doi=10.1109%2fCoG57401.2023.10333197&partnerID=40&md5=21cc8e764826739bfea0cae85da05805'],"University of the Witwatersrand, South Africa","Large Language Models (LLMs) have proven to be useful tools in various domains outside of the field of their inception, which was natural language processing. In this study, we provide practical directions on how to use LLMs to generate 2D-game rooms for an under-development game, named Metavoidal. Our technique can harness the power of GPT-3 by Human-in-the-loop fine-tuning which allows our method to create 37% Playable-Novel levels from as scarce data as only 60 hand-designed rooms under a scenario of the non-trivial game, with respect to (Procedural Content Generation) PCG, that has a good amount of local and global constraints. © 2023 IEEE.","['Large Language Models', 'Procedural Content Generation', 'Natural language processing systems', 'Fine tuning', 'Human-in-the-loop', 'Language model', 'Language processing', 'Large language model', 'Local constraints', 'Natural languages', 'Non-trivial', 'Power', 'Procedural content generations', 'Computational linguistics']",IEEE Computer Society,23254270 (ISSN); 979-835032277-4 (ISBN),English,"IEEE Conf. Comput. Intell. Games, CIG",Conference paper,Scopus,"['Export Date: 06 January 2025; Cited By: 9; Correspondence Address: M.U. Nasir; University of the Witwatersrand, South Africa; email: umairnasir1@students.wits.ac.za; Conference name: 5th Annual IEEE Conference on Games, CoG 2023; Conference date: 21 August 2023 through 24 August 2023; Conference code: 195132']",SCOPUS,,,,
