type_of_reference,authors,title,secondary_title,language,keywords,abstract,author_address,custom3,unknown_tag,issn,date,year,volume,number,start_page,end_page,doi,accession_number,notes,database,custom7,custom6,first_authors
CPAPER,"['Poplin, A']","Serious Digital Geogames and Their Implementations Enhanced by Artificial Intelligence, Mixed- and Augmented-Reality","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS-ICCSA 2024 WORKSHOPS, PT III",English,"['serious geogames', 'mixed- and augmented-reality', 'artificial intelligence', 'procedural content generation', 'GAMES']","This paper concentrates on technological advancements of serious digital geogames. Geogames are games that are placed in a spatial context and often aim at realistic visualization of real-world situations. Novel technologies such as mixed-reality and augmented-reality represent opportunities for more advanced geogame design. Artificial intelligence (AI) tools can expand geogame concepts implemented with technologies that aim to immerse users into the game world. This paper overviews virtualized geometry, procedural content generation, and biometric feedback as novel AI expansion. Virtualized geometry can contribute to a more realistic visualization of geogame environments. Procedural content generation may automatically generate new content, game levels, characters, and unpredictable events to increase conflict in geogames that can make them more appealing to the players. Biometric feedback may be used to model the game based on the state and condition of the player. This paper summarizes the potential for expansion of serious digital geogames and discusses the opportunities AI offers as a novel contribution to this field.","Iowa State Univ, Ames, IA 50011 USA",Iowa State University,"defaultdict(<class 'list'>, {'ED': ['Gervasi, O', 'Murgante, B', 'Garau, C', 'Taniar, D', 'Rocha, AMAC', 'Lago, MNF'], 'CP': ['24th International Conference on Computational Science and Its Applications (ICCSA)'], 'PU': ['SPRINGER INTERNATIONAL PUBLISHING AG'], 'PI': ['CHAM'], 'PA': ['GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND'], 'J9': ['LECT NOTES COMPUT SC'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",0302-9743,,2024,14817,,189,201,10.1007/978-3-031-65238-7_13,WOS:001294364500013,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  44']",WOS,,,
CPAPER,"['Sorochan, K', 'Chen, J', 'Yu, YK', 'Guzdial, M']",Generating Lode Runner Levels by Learning Player Paths with LSTMs,"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2021",English,"['datasets', 'neural networks', 'path learning', 'path detection']","Machine learning has been a popular tool in many different fields, including procedural content generation. However, procedural content generation via machine learning (PCGML) approaches can struggle with controllability and coherence. In this paper, we attempt to address these problems by learning to generate human-like paths, and then generating levels based on these paths. We extract player path data from gameplay video, train an LSTM to generate new paths based on this data, and then generate game levels based on this path data. We demonstrate that our approach leads to more coherent levels for the game Lode Runner in comparison to an existing PCGML approach.","Univ Alberta, Edmonton, AB, Canada",University of Alberta,"defaultdict(<class 'list'>, {'ED': ['Fowler, A', 'Pirker, J', 'Canossa, AA', 'Arya, AA', 'Harteveld, C'], 'CP': ['16th International Conference on the Foundations of Digital Games (FDG)'], 'FU': ['Canada CIFAR AI Chairs Program; Alberta Machine Intelligence Institute (Amii)'], 'FX': ['This work was funded by the Canada CIFAR AI Chairs Program. We acknowledge the support of the Alberta Machine Intelligence Institute (Amii).'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-8422-3,,2021,,,,,10.1145/3472538.3472602,WOS:001124866500055,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  25']",WOS,53,,
CPAPER,"['Schrum, J', 'Gutierrez, J', 'Volz, V', 'Liu, JL', 'Lucas, S', 'Risi, S']",Interactive Evolution and Exploration Within Latent Level-Design Space of Generative Adversarial Networks,GECCO'20: PROCEEDINGS OF THE 2020 GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE,English,"['Generative Adversarial Network', 'Interactive Evolution', 'Latent Variable Evolution', 'Procedural Content Generation', 'Video Games', 'PROCEDURAL CONTENT GENERATION']","Generative Adversarial Networks (GANs) are an emerging form of indirect encoding. The GAN is trained to induce a latent space on training data, and a real-valued evolutionary algorithm can search that latent space. Such Latent Variable Evolution (LVE) has recently been applied to game levels. However, it is hard for objective scores to capture level features that are appealing to players. Therefore, this paper introduces a tool for interactive LVE of tile-based levels for games. The tool also allows for direct exploration of the latent dimensions, and allows users to play discovered levels. The tool works for a variety of GAN models trained for both Super Mario Bros. and The Legend of Zelda, and is easily generalizable to other games. A user study shows that both the evolution and latent space exploration features are appreciated, with a slight preference for direct exploration, but combining these features allows users to discover even better levels. User feedback also indicates how this system could eventually grow into a commercial design tool, with the addition of a few enhancements.","Southwestern Univ, Georgetown, TX 78626 USA",Southern University of Science & Technology,"defaultdict(<class 'list'>, {'CP': ['Genetic and Evolutionary Computation Conference (GECCO)'], 'FU': ['National Natural Science Foundation of China [61906083]; Science and Technology Innovation Committee Foundation of Shenzhen [JCYJ20190809121403553]; Program for University Key Laboratory of Guangdong Province [2017KSYS008];  [19511]'], 'FX': ['The authors would like to thank the Schloss Dagstuhl team and the organisers of Dagstuhl Seminars 17471 and 19511 for hosting productive seminars. This work was supported by the National Natural Science Foundation of China (Grant No. 61906083), the Science and Technology Innovation Committee Foundation of Shenzhen (Grant No. JCYJ20190809121403553) and the Program for University Key Laboratory of Guangdong Province (Grant No. 2017KSYS008).'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-7128-5,,2020,,,148,156,10.1145/3377930.3389821,WOS:000605292300020,"['Times Cited in Web of Science Core Collection:  25', 'Total Times Cited:  25', 'Cited Reference Count:  50']",WOS,,,['Assoc Comp Machinery']
CPAPER,"['Stephens, C', 'Exton, C']",Balancing Multiplayer Games across Player Skill Levels using Deep Reinforcement Learning,ICAART: PROCEEDINGS OF THE 14TH INTERNATIONAL CONFERENCE ON AGENTS AND ARTIFICIAL INTELLIGENCE - VOL 3,English,"['Artificial Intelligence', 'Reinforcement Learning', 'Games Design', 'Deep Learning']","The balance or perceived fairness of Level & Character design within multiplayer games depends on the skill level of the players within the game, skills or abilities that have high contributions but require low skill, feel unfair for less skill players and can become the dominant strategy and playstyle if left unchecked. Player skill influences the viable tactics for different map designs, with some strategies only possible for the best players. Level designers hope to create various maps within the game world that are suited to different strategies, giving players interesting choices when deciding what to do next. This paper proposes using deep learning to measure the connection between player skills and balanced level design. This tool can be added to Unity game engine allowing designers to see the impact of their changes on the level's design on win-rate probability for different skilled teams. The tool is comprised of a neural network which takes as input the level layout as a stacked 2D one hot encoded array alongside the player parameters, skill rating chosen characters; the neural network output is the win rate probability between 0-1 for team 1. Data for this neural network is generated using learning agents that are learning the game using self-play (Silver et al., 2017) and the level data that is used for training the neural network is generated using procedural content generation (PCG) techniques.","Univ Limerick, Limerick, Ireland",University of Limerick,"defaultdict(<class 'list'>, {'ED': ['Rocha, AP', 'Steels, L', 'VandenHerik, J'], 'CP': ['14th International Conference on Agents and Artificial Intelligence (ICAART)'], 'FU': ['Lero: The Irish Software Research Centre'], 'FX': ['We would like to thank Lero: The Irish Software Research Centre for their continued help and support.'], 'PU': ['SCITEPRESS'], 'PI': ['SETUBAL'], 'PA': ['AV D MANUELL, 27A 2 ESQ, SETUBAL, 2910-595, PORTUGAL'], 'J9': ['ICAART'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2184-433X,,2022,,,827,833,10.5220/0010914200003116,WOS:000774776400101,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  15']",WOS,,,
CPAPER,"['Zhang, QQ', 'Li, YC', 'Lin, YH', 'Wang, HD', 'Liu, JL']",Interpreting Multi-objective Evolutionary Algorithms via <i>Sokoban</i> Level Generation,"2024 IEEE CONFERENCE ON GAMES, COG 2024",English,"['Procedural Content Generation', 'Multi-objective Optimisation', 'Multi-objective Evolutionary Algorithms', 'Two_Arch2']","This paper presents an interactive platform to interpret multi-objective evolutionary algorithms. Sokoban level generation is selected as a showcase for its widespread use in procedural content generation. By balancing the emptiness and spatial diversity of Sokoban levels, we illustrate the improved two-archive algorithm, Two_Arch2, a well-known multi-objective evolutionary algorithm. Our web-based platform integrates Two_Arch2 into an interface that visually and interactively demonstrates the evolutionary process in real-time. Designed to bridge theoretical optimisation strategies with practical game generation applications, the interface is also accessible to both researchers and beginners to multi-objective evolutionary algorithms or procedural content generation on a website. Through dynamic visualisations and interactive gameplay demonstrations, this web-based platform also has potential as an educational tool.","Southern Univ Sci & Technol, Dept Comp Sci & Engn, Guangdong Key Lab Brain Inspired Intelligent Comp, Shenzhen, Peoples R China",Southern University of Science & Technology,"defaultdict(<class 'list'>, {'CP': ['6th Annual IEEE Conference on Games (CoG)'], 'FU': ['National Key R&D Program of China [2023YFE0106300]; National Natural Science Foundation of China [62250710682]; Shenzhen Science and Technology Program [20220815181327001]; Guangdong Provincial Key Laboratory [2020B121201001]; Research Institute of Trustworthy Autonomous Systems'], 'FX': ['This work was supported by the National Key R&D Program of China (Grant No. 2023YFE0106300), the National Natural Science Foundation of China (Grant No. 62250710682), the Shenzhen Science and Technology Program (Grant No. 20220815181327001), the Guangdong Provincial Key Laboratory (Grant No. 2020B121201001), and the Research Institute of Trustworthy Autonomous Systems.'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE CONF COMPU INTE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2325-4270,,2024,,,,,10.1109/CoG60054.2024.10645559,WOS:001308832400025,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  13']",WOS,,,['IEEE']
CPAPER,"['Lee, HJ', 'Simo-Serra, E']",Using Unconditional Diffusion Models in Level Generation for Super Mario Bros.,"2023 18TH INTERNATIONAL CONFERENCE ON MACHINE VISION AND APPLICATIONS, MVA",English,,"This study introduces a novel methodology for generating levels in the iconic video game Super Mario Bros. using a diffusion model based on a UNet architecture. The model is trained on existing levels, represented as a categorical distribution, to accurately capture the game's fundamental mechanics and design principles. The proposed approach demonstrates notable success in producing high-quality and diverse levels, with a significant proportion being playable by an artificial agent. This research emphasizes the potential of diffusion models as an efficient tool for procedural content generation and highlights their potential impact on the development of new video games and the enhancement of existing games through generated content.","Waseda Univ, Tokyo, Japan",Waseda University,"defaultdict(<class 'list'>, {'CP': ['18th International Conference on Machine Vision and Applications (MVA)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-4-88552-343-4,,2023,,,,,10.23919/MVA57639.2023.10215856,WOS:001057888900034,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  19']",WOS,,,['IEEE']
CPAPER,"['Wootton, JR']",A quantum procedure for map generation,2020 IEEE CONFERENCE ON GAMES (IEEE COG 2020),English,"['Quantum computing', 'Procedural content generation', 'game development', 'graph algorithm', 'ALGORITHMS', 'SYSTEM']","Quantum computation is an emerging technology that promises a wide range of possible use cases. This promise is primarily based on algorithms that are unlikely to be viable over the coming decade. For near-term applications, quantum software needs to be carefully tailored to the hardware available. In this paper, we begin to explore whether near-term quantum computers could provide tools that are useful in the creation and implementation of computer games. The procedural generation of geopolitical maps and their associated history is considered as a motivating example. This is performed by encoding a rudimentary decision making process for the nations within a quantum procedure that is well-suited to near-term devices. Given the novelty of quantum computing within the field of procedural generation, we also provide an introduction to the basic concepts involved.","IBM Res Zurich, IBM Quantum, Zurich, Switzerland",International Business Machines (IBM),"defaultdict(<class 'list'>, {'CP': ['IEEE Conference on Games (IEEE CoG)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'J9': ['IEEE CONF COMPU INTE'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",2325-4270,,2020,,,73,80,,WOS:000632592300010,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  3', 'Cited Reference Count:  29']",WOS,,,['IEEE']
CPAPER,"['Picariello, U', 'Loiacono, D', 'Mosca, F', 'Lanzi, PL']",A Framework to Create Collaborative Games for Team Building using Procedural Content Generation,2020 IEEE SYMPOSIUM SERIES ON COMPUTATIONAL INTELLIGENCE (SSCI),English,"['Search-based procedural content generation', 'collaborative puzzle games', 'team building']","We present a framework to design collaborative games for team building that employs a search-based procedural content generation toolset to help designers creating levels. It comprises a multiplayer game with asymmetric interaction in which a player must reach the exit of a maze within a time limit, while wearing a head mounted display. The maze is complex and the player could not reach the exit on time without a team there to help her using a large number of printed maps describing candidate mazes. The player describes what she sees to the team who use such information to identify which one of the several available maps the player is currently navigating in virtual reality. Each game requires the generation of hundreds of very similar maps with several aliasing (confusing) situations but at the same lime need to have a solution to guarantee that if the team members collaborate effectively they can guide the player to the exit. It would be infeasible for a human designer to provide such a massive number of maps for every game played. Accordingly, we developed automatic authoring tools to help designers generate such large sets of maps and also to optimize them based on design principles focusing on fun and pace. Our preliminary results show that the authoring pipeline we created can generale games (set of maps) adherent to such design principles.","DEIB Politecn Milano, Milan, Italy",Polytechnic University of Milan,"defaultdict(<class 'list'>, {'CP': ['IEEE Symposium Series on Computational Intelligence (IEEE SSCI)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-7281-2547-3,,2020,,,2365,2372,,WOS:000682772902055,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  24']",WOS,,,['IEEE']
CPAPER,"['Biemer, CF', 'Hervella, A', 'Cooper, S']",Gram-Elites: N-Gram Based Quality-Diversity Search,"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2021",English,"['procedural content generation', 'video games', 'quality-diversity', 'n-grams', 'genetic operators']","In the context of procedural content generation via machine learning (PCGML), quality-diversity (QD) algorithms are a powerful tool to generate diverse game content. A branch of QD uses genetic operators to generate content (e.g. MAP-Elites). Problematically, levels generated with these operators have no guarantee of matching the style of a game. This can be addressed by incorporating whether a level is generable by an n-gram into the fitness function. Unfortunately, this leads to wasted computation and poor results. In this work, we introduce n-gram genetic operators, which produce only solutions that are generable by the n-gram model; we call MAP-Elites combined with these operators Gram-Elites. We test on a tile-based side-scrolling platformer, vertical platformer, and roguelike. For all three, n-gram operators outperform standard operators and random n-gram generation, finding more usable (i.e. completable and generable) solutions at a faster rate. By integrating structure into operators, instead of fitness, these genetic operators could be beneficial to QD in PCGML.","Northeastern Univ, Boston, MA 02115 USA",Northeastern University,"defaultdict(<class 'list'>, {'ED': ['Fowler, A', 'Pirker, J', 'Canossa, AA', 'Arya, AA', 'Harteveld, C'], 'CP': ['16th International Conference on the Foundations of Digital Games (FDG)'], 'FU': [""La Comunidad Latina En Accion Scholarship from Northeastern University's Latinx Student Cultural Center""], 'FX': [""Parts of this work were supported by the La Comunidad Latina En Accion Scholarship from Northeastern University's Latinx Student Cultural Center.""], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-8422-3,,2021,,,,,10.1145/3472538.34725990,WOS:001124866500053,"['Times Cited in Web of Science Core Collection:  1', 'Total Times Cited:  1', 'Cited Reference Count:  17']",WOS,54,,
CPAPER,"['Todd, G', 'Earle, S', 'Nasir, MU', 'Green, MC', 'Togelius, J']",Level Generation Through Large Language Models,"PROCEEDINGS OF THE 18TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2023",English,"['procedural content generation', 'sokoban', 'language models', 'transformers']","Large Language Models (LLMs) are powerful tools, capable of leveraging their training on natural language to write stories, generate code, and answer questions. But can they generate functional video game levels? Game levels, with their complex functional constraints and spatial relationships in more than one dimension, are very different from the kinds of data an LLM typically sees during training. Datasets of game levels are also hard to come by, potentially taxing the abilities of these data-hungry models. We investigate the use of LLMs to generate levels for the game Sokoban, finding that LLMs are indeed capable of doing so, and that their performance scales dramatically with dataset size. We also perform preliminary experiments on controlling LLM level generators and discuss promising areas for future work.","New York Univ Tandon, Brooklyn, NY 11201 USA",New York University,"defaultdict(<class 'list'>, {'ED': ['Lopes, P', 'Luz, F', 'Liapis, A', 'Engstrom, H'], 'CP': ['18th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)', 'Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)']})",978-1-4503-9856-5,,2023,,,,,10.1145/3582437.3587211,WOS:001092777800075,"['Times Cited in Web of Science Core Collection:  25', 'Total Times Cited:  25', 'Cited Reference Count:  34']",WOS,70,,
JOUR,"['Capasso-Ballesteros, IF', 'De La Rosa-Rosero, F']",Semi-automatic construction of video game design prototypes with MaruGen,REVISTA FACULTAD DE INGENIERIA-UNIVERSIDAD DE ANTIOQUIA,English,"['Video game design', 'video games', 'automatic game design', 'game prototyping', 'procedural content generation']","Machinations Ruleset Generator (MaruGen) is a semi-automatic system for the generation of mechanics, rules, spaces (environments), and missions for video games. The objective of this system is to offer an expression mechanism for the video game designer role based on the definition of rules, and the ability to explore the concepts of progression and emergence in video games by using a formal, usable, and defined tool to design games with innovative and complex elements, and behaviors defined from combinations of basic elements. Based on the expressed designs and with the participation of programmers and video game artists, MaruGen allows the generation of agile video game prototypes in the Unity game engine. These prototypes can be analyzed by the entire workgroup to look for games with diverse complexities that make them attractive to their users. MaruGen is based on the expression of rules on elements of interest in video games and the rewriting mechanism using L-Systems for the generation of procedural content. MaruGen was evaluated in the construction of the Cubic Explorer video game and tested by gamers and video game developers during the Game Jam Ludum Dare 38.","Univ los Andes, Fac Ingn, Dept Ingn Sistemas & Comp, Grp Imagine Comp Visual, Carrera 1 18A-12, Bogota 111711, Colombia",Universidad de los Andes (Colombia),"defaultdict(<class 'list'>, {'FU': ['Systems and Computing Engineering Department at Universidad de los Andes (Bogota, Colombia); IMAGINE research group'], 'FX': ['We would like to thank the IMAGINE research group and the Systems and Computing Engineering Department at Universidad de los Andes (Bogota, Colombia) for their support.'], 'PU': ['IMPRENTA UNIV ANTIOQUIA'], 'PI': ['MEDELLIN'], 'PA': ['67 N 53-108, BLOQUE 28, CIUDAD UNIV, UNIV ANTIQUIA, MEDELLIN, 00000, COLOMBIA'], 'J9': ['REV FAC ING-UNIV ANT'], 'JI': ['Rev. Fac. Ing.-Univ. Antioquia'], 'WE': ['Emerging Sources Citation Index (ESCI)']})",0120-6230,APR-JUN,2021,,99,9,20,10.17533/udea.redin.20200369,WOS:000624584400002,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  22']",WOS,,,
CPAPER,"['Vijaya, J', 'Gopu, A', 'Vinayak, KVSG', 'Singh, TJ', 'Malhotra, K']",Analysis of Maze Generation Algorithms,"2024 5TH INTERNATIONAL CONFERENCE ON INNOVATIVE TRENDS IN INFORMATION TECHNOLOGY, ICITIIT 2024",English,"['Depth First Hunt', ""Prim's Algorithm"", 'Recursive description', 'Procedural content generation']","Procedural content generation plays a crucial role in modern game development, offering efficient methods for creating intricate mazes, a prime example of its utility. However, when it comes to homemade maze generation, there's often a limitation in providing the necessary diversity of mazes to maintain player engagement. Predictability can creep in, diminishing the player's experience. In this composition, we embark on a comprehensive exploration of three introductory 2-D maze-generation algorithms, firstly, DFS (Depth-First Search), secondly, Recursive description, and lastly Prim's-Method algorithm. Rather than merely analyzing these algorithms, our focus is on addressing their inherent drawbacks. Specifically, we aim to find solutions to enhance their utility in game development, particularly in terms of improving path lengths and increasing the diversity of generated mazes. In essence, procedural content generation, as exemplified by maze generation algorithms, serves as an indispensable tool for game designers seeking not only to understand the limitations but also to find creative solutions that strike a balance between generating engaging content and maintaining gameplay diversity.","IIIT Naya Raipur, Dept DSAI, Raipur, Chattisgarh, India",,"defaultdict(<class 'list'>, {'CP': ['5th International Conference on Innovative Trends in Information Technology (ICITIIT)'], 'PU': ['IEEE'], 'PI': ['NEW YORK'], 'PA': ['345 E 47TH ST, NEW YORK, NY 10017 USA'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",979-8-3503-8681-3,,2024,,,,,10.1109/CITIIT61487.2024.10580178,WOS:001289175000028,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  15']",WOS,,,['IEEE']
CPAPER,"['Newgas, A']",<i>Tessera</i>: A Practical System for Extended WaveFunctionCollapse,"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2021",English,"['procedural content generation', 'wavefunctioncollapse', 'constraint solving']","Constraint-based procedural generation has recently had a lot of interest following the publication of the WaveFunctionCollapse (WFC) algorithm, but usability issues have restricted the number of games and projects that have resulted. We present Tessera, a library and tool for WFC specifically designed to address the practical issues that arise from constraint based generation. We discuss the user interface of the tool and useful extensions to the base algorithm of WFC.",,,"defaultdict(<class 'list'>, {'ED': ['Fowler, A', 'Pirker, J', 'Canossa, AA', 'Arya, AA', 'Harteveld, C'], 'CP': ['16th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-8422-3,,2021,,,,,10.1145/3472538.3472605,WOS:001124866500057,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  3', 'Cited Reference Count:  34']",WOS,56,,
CPAPER,"['Yang, D', 'Kleinman, E', 'Troiano, GM', 'Tochilnikova, E', 'Harteveld, C']",Snake Story: Exploring Game Mechanics for Mixed-initiative Co-creative Storytelling Games,"PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2024",English,"['storytelling games', 'mixed-initiative co-creativity', 'co-creation', 'co-creative storytelling', 'casual creators', 'generative AI', 'GPT-3']","Mixed-initiative co-creative storytelling games have existed for some time as a way to merge storytelling with play. However, modern mixed-initiative co-creative storytelling games predominantly prioritize story creation over gameplay mechanics, which might not resonate with all players. As such, there is untapped potential for creating mixed-initiative games with more complex mechanics in which players can engage with both co-creation and gameplay goals. To explore the potential of more prominent gameplay in mixed-initiative co-creative storytelling games, we created Snake Story, a variation of the classic Snake game featuring a human-AI co-writing element. To explore how players interact with the mixed-initiative game, we conducted a qualitative playtest with 11 participants. Analysis of both think-aloud and interview data revealed that players' strategies and experiences were affected by their perception of Snake Story as either a collaborative tool, a traditional game, or a combination of both. Based on these findings, we present design considerations for future development in mixed-initiative co-creative gaming.","Northeastern Univ, Boston, MA 02115 USA",Northeastern University,"defaultdict(<class 'list'>, {'ED': ['Smith, G', 'Whitehead, J', 'Samuel, B', 'Spiel, K', 'VanRozen, R'], 'CP': ['19th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)', 'Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)']})",979-8-4007-0955-5,,2024,,,,,10.1145/3649921.3649996,WOS:001267233700003,"['Times Cited in Web of Science Core Collection:  0', 'Total Times Cited:  0', 'Cited Reference Count:  49']",WOS,3,,
CPAPER,"['Johansen, M', 'Pichlmair, M', 'Risi, S']",Squeezer - A Mixed-Initiative Tool for Designing Juice Effects,"PROCEEDINGS OF THE 16TH INTERNATIONAL CONFERENCE ON THE FOUNDATIONS OF DIGITAL GAMES, FDG 2021",English,"['Game Development', 'Game Design', 'Juice Effects', 'Interaction Feedback', 'Toolkit', 'Prototyping', 'Generator', 'Interactive Evolution', 'Mixed-Initiative']","This paper presents a Mixed-Initiative version of Squeezer, a tool for designing juice effects in the Unity game engine. Drawing upon sound synthesizers and game description languages, Squeezer can synthesize common types of juice effects by combining simple building blocks into sequences. Additionally, Squeezer offers effect generation based on predefined recipes as well as an interface for interactively evolving effect sequences. We conducted a user study with five experts to verify the functionality and interest among game designers. By applying generative and evolutionary strategies to juice effect design, Squeezer allows game designers and researchers using games in their work to explore adding juice effects to their games and frameworks. Squeezer is available at: https://github.com/pyjamads/Squeezer","IT Univ Copenhagen, Ctr Comp Games Res, Copenhagen, Denmark",IT University Copenhagen,"defaultdict(<class 'list'>, {'ED': ['Fowler, A', 'Pirker, J', 'Canossa, AA', 'Arya, AA', 'Harteveld, C'], 'CP': ['16th International Conference on the Foundations of Digital Games (FDG)'], 'PU': ['ASSOC COMPUTING MACHINERY'], 'PI': ['NEW YORK'], 'PA': ['1601 Broadway, 10th Floor, NEW YORK, NY, UNITED STATES'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",978-1-4503-8422-3,,2021,,,,,10.1145/3472538.3472575,WOS:001124866500036,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  37']",WOS,37,,
CPAPER,"['Morgan, L', 'Haahr, M']","Honey, I'm Home: An Adventure Game with Procedurally Generated Narrative Puzzles","INTERACTIVE STORYTELLING, ICIDS 2020",English,"['Procedural content generation', 'Puzzle games']","We present Honey, I'm Home, a short 2D adventure game whichmakes use of the SPHINX framework for procedurally generating narrative puzzles. The player guides the protagonist, a journalist for a local newspaper, through four game areas, interacting with numerous characters and objects along the way. The player must solve puzzles to complete each area, combining objects and interacting with characters in the game. The procedural generation of puzzles ensures that while the gameworld remains largely identical between replays, the puzzles encountered are different. The aim of Honey, I'm Home was to serve as a tool for our two-fold evaluation of the SPHINX algorithm, from its functionality in game development, as well as its effect on player experience. To this end a small user study was also conducted on Honey, I'm Home.","Trinity Coll Dublin, Sch Comp Sci & Stat, Dublin, Ireland",Trinity College Dublin,"defaultdict(<class 'list'>, {'ED': ['Bosser, AG', 'Millard, DE', 'Hargood, C'], 'CP': ['13th International Conference on Interactive Digital Storytelling'], 'PU': ['SPRINGER INTERNATIONAL PUBLISHING AG'], 'PI': ['CHAM'], 'PA': ['GEWERBESTRASSE 11, CHAM, CH-6330, SWITZERLAND'], 'J9': ['LECT NOTES COMPUT SC'], 'WE': ['Conference Proceedings Citation Index - Science (CPCI-S)']})",0302-9743,,2020,12497,,335,338,10.1007/978-3-030-62516-0_30,WOS:000927883400030,"['Times Cited in Web of Science Core Collection:  2', 'Total Times Cited:  2', 'Cited Reference Count:  4']",WOS,,,
